Cstno,Age,Sex,Income,USE_Month,Credit_Limit,Total_Trans_Amt,Total_Trans_Ct
710916408,57,M,4~6천만원미만,39,8466000,1342000,32
708492558,42,M,4~6천만원미만,36,15088000,1107000,21
799825758,42,M,4~6천만원미만,36,3263000,1251000,35
718619883,54,F,2천만원미만,36,1494000,1305000,24
711844758,48,M,6~8천만원미만,35,13551000,1388000,37
714798783,49,M,6~8천만원미만,36,18886000,1235000,18
826762908,52,M,6~8천만원미만,48,11976000,2089000,36
771894558,50,M,6~8천만원미만,39,9964000,1626000,25
721074183,49,M,4~6천만원미만,36,24159000,1111000,24
715259583,53,F,2천만원미만,44,5362000,1553000,38
718414008,50,M,8천만원이상,36,34516000,1064000,13
719666283,55,F,2천만원미만,36,3174000,1243000,29
714877233,53,M,6~8천만원미만,47,12262000,1659000,38
785387883,47,F,2~4천만원미만,41,3788000,1594000,47
771075258,55,M,8천만원이상,42,34516000,1268000,42
711318033,47,M,4~6천만원미만,36,2926000,1304000,24
783554958,58,M,8천만원이상,52,32090000,1368000,30
720201033,53,M,6~8천만원미만,41,11669000,720000,23
718039683,52,M,2~4천만원미만,45,13532000,1521000,29
710806083,50,F,2천만원미만,36,11888000,1137000,30
714752208,42,F,2천만원미만,36,2393000,978000,16
822063408,43,M,2~4천만원미만,39,6111000,1221000,16
714490308,57,M,6~8천만원미만,46,19270000,1565000,28
713356833,52,M,6~8천만원미만,43,3710000,1578000,34
711402333,47,M,2천만원미만,37,3235000,1493000,32
708296883,44,F,2~4천만원미만,38,11749000,1178000,27
719154483,53,M,4~6천만원미만,36,7753000,991000,26
717721458,45,M,4~6천만원미만,40,10408000,2560000,42
711112683,63,F,Unknown,36,3967000,1657000,29
715674483,39,F,2천만원미만,27,6205000,1204000,19
789322833,48,F,2천만원미만,38,8025000,673000,18
789968058,51,M,8천만원이상,42,9036000,1131000,18
709919283,54,M,6~8천만원미만,34,14926000,1576000,25
718744008,59,F,2천만원미만,36,6335000,1217000,20
767712558,59,M,4~6천만원미만,53,14979000,530000,10
712950783,48,F,2천만원미만,38,2732000,739000,16
716104983,41,F,2천만원미만,32,2250000,1617000,31
818839983,55,M,8천만원이상,50,10916000,1592000,34
772288758,47,F,Unknown,36,5349000,1343000,30
712350858,41,M,6~8천만원미만,24,9366000,1303000,39
711009708,40,M,6~8천만원미만,28,21617000,1351000,22
712720158,68,M,Unknown,56,13860000,1910000,32
712215258,50,F,2~4천만원미만,31,18386000,1298000,22
773827008,47,M,4~6천만원미만,41,2405000,1087000,29
795232683,53,F,2천만원미만,47,2154000,1439000,26
713786508,42,F,2~4천만원미만,36,2038000,1238000,28
713539833,48,F,2~4천만원미만,38,8135000,1716000,29
712454058,49,M,8천만원이상,38,9364000,1099000,27
718759833,44,F,Unknown,35,32643000,1058000,24
718803333,43,F,2천만원미만,34,3195000,1285000,29
720253908,56,M,6~8천만원미만,43,2852000,1651000,28
714133158,59,F,Unknown,36,4224000,1152000,31
713187033,46,M,4~6천만원미만,36,20459000,1767000,38
714791208,47,F,2천만원미만,41,3482000,1039000,24
772426383,50,F,2~4천만원미만,40,3065000,1130000,28
710975883,51,F,2천만원미만,43,2185000,1645000,30
714264408,47,F,2천만원미만,36,1611000,1413000,29
715827858,58,F,2천만원미만,47,2822000,1218000,23
713741358,46,M,6~8천만원미만,33,32975000,597000,17
709531908,53,M,4~6천만원미만,47,1438300,2184000,53
716493408,45,F,Unknown,36,15875000,1592000,37
714141108,52,F,2천만원미만,45,6703000,1388000,28
708953883,53,M,6~8천만원미만,36,3212000,757000,20
712608783,50,M,6~8천만원미만,45,34516000,1504000,34
820353558,41,F,2~4천만원미만,36,9797000,1503000,34
714964758,45,F,2~4천만원미만,36,10400000,1105000,28
716264358,53,M,6~8천만원미만,42,26792000,2398000,47
717296808,67,F,2천만원미만,56,3006000,1661000,32
712977183,57,F,2~4천만원미만,36,19482000,1421000,22
710829108,59,F,2~4천만원미만,36,3356000,999000,28
779562633,45,M,2~4천만원미만,34,5771000,1387000,18
715315833,51,M,6~8천만원미만,36,11106000,1243000,24
815500983,59,F,2천만원미만,54,2890000,1860000,36
719360583,53,M,4~6천만원미만,45,3380000,1502000,25
709701558,47,M,4~6천만원미만,36,21331000,1460000,50
721148358,49,F,Unknown,38,12860000,1348000,27
779862408,49,M,6~8천만원미만,33,6278000,1087000,33
812627208,60,F,2천만원미만,55,1438300,1226000,33
711033408,50,F,2천만원미만,36,9355000,1230000,28
779956608,41,F,Unknown,31,20758000,1555000,32
780376683,57,M,6~8천만원미만,47,14612000,1827000,24
717912483,43,M,6~8천만원미만,27,27259000,1376000,35
714454758,57,F,2천만원미만,47,6347000,1771000,37
780466533,54,M,8천만원이상,41,21592000,1873000,52
715735233,51,F,2천만원미만,44,3449000,1679000,42
720476733,47,F,2천만원미만,34,6028000,1002000,22
715872333,41,M,8천만원이상,36,18214000,1344000,21
712375758,53,M,6~8천만원미만,43,16393000,1461000,42
708868233,68,M,2천만원미만,52,1438300,760000,21
718030083,59,M,4~6천만원미만,36,7871000,1428000,22
720707283,48,M,6~8천만원미만,36,5288000,1777000,42
771698658,44,M,4~6천만원미만,32,11376000,1302000,27
748326258,48,M,6~8천만원미만,41,12302000,1483000,41
770817783,47,M,4~6천만원미만,33,34516000,1060000,27
779353083,47,M,4~6천만원미만,32,34516000,1330000,32
711441333,43,F,2천만원미만,35,10514000,1229000,27
719808558,55,F,2천만원미만,43,1438300,886000,27
711551958,59,M,4~6천만원미만,46,1438300,844000,24
809164083,63,M,2~4천만원미만,56,2619000,1450000,37
820596183,58,M,8천만원이상,53,24407000,2311000,48
715999608,53,F,2천만원미만,36,2377000,1378000,26
710565408,59,M,6~8천만원미만,40,34516000,1033000,26
805543158,52,M,8천만원이상,47,11086000,1523000,40
709752183,48,M,4~6천만원미만,36,11432000,1374000,37
716479233,43,M,2~4천만원미만,36,13258000,1080000,21
713837058,48,M,2천만원미만,36,2571000,1234000,24
718876683,43,F,2천만원미만,31,5781000,1600000,32
770746908,44,M,4~6천만원미만,30,7872000,1155000,32
794843883,41,M,6~8천만원미만,35,34516000,1353000,33
803043933,44,F,2천만원미만,38,11127000,1546000,25
758076408,50,M,2~4천만원미만,43,1857000,1590000,43
714606558,60,F,2천만원미만,36,1913000,1448000,22
778425408,44,M,6~8천만원미만,24,3839000,1271000,24
714171108,48,F,2~4천만원미만,39,2115000,1223000,20
719662458,44,F,2천만원미만,27,1438300,1117000,29
713137233,41,M,6~8천만원미만,28,27756000,994000,24
769425858,45,M,4~6천만원미만,32,1438300,1468000,26
711297483,47,F,2천만원미만,34,13878000,1658000,38
788900883,51,F,2천만원미만,36,3106000,1368000,38
758348808,51,M,8천만원이상,44,34516000,1218000,18
772336458,60,F,2~4천만원미만,50,1438300,702000,12
708711483,57,M,6~8천만원미만,46,18871000,1516000,21
717906783,41,M,8천만원이상,29,5207000,1310000,26
719437908,44,M,6~8천만원미만,36,17965000,1767000,50
769433508,43,M,4~6천만원미만,37,2733000,933000,25
790096533,55,M,4~6천만원미만,48,8863000,1512000,27
720997383,52,M,6~8천만원미만,36,1857000,829000,17
787541883,44,M,6~8천만원미만,33,34516000,1120000,27
709930758,41,M,2~4천만원미만,30,11107000,1506000,33
789830058,44,M,6~8천만원미만,34,21573000,1384000,36
710299608,53,F,2천만원미만,33,2859000,817000,30
710741208,39,M,6~8천만원미만,36,5269000,2094000,25
821797008,49,M,2~4천만원미만,45,1438300,815000,21
708874533,45,F,2천만원미만,36,3387000,510000,24
715341858,54,M,6~8천만원미만,46,1982000,1377000,49
793636308,49,M,6~8천만원미만,43,4645000,1193000,33
713779908,46,F,Unknown,36,2189000,1287000,36
712125258,46,M,8천만원이상,30,2442000,701000,19
709703433,47,M,4~6천만원미만,38,21304000,1770000,25
721022433,44,M,4~6천만원미만,36,7577000,1409000,35
710103558,50,M,8천만원이상,31,3234000,1354000,28
715952883,73,M,2~4천만원미만,36,4469000,1765000,34
719731458,56,M,2~4천만원미만,46,2910000,1192000,27
772390908,59,M,2~4천만원미만,48,3616000,687000,17
787348608,70,M,2천만원미만,56,3252000,1227000,15
709485033,55,F,2천만원미만,36,2358000,1737000,26
715432608,43,M,4~6천만원미만,36,22322000,1348000,34
799471833,45,M,8천만원이상,39,3133000,1435000,38
714187533,45,F,2~4천만원미만,35,3540000,1321000,28
779656908,40,M,2~4천만원미만,23,6990000,1479000,29
788950158,36,M,6~8천만원미만,22,34516000,1283000,39
778867533,59,F,2~4천만원미만,40,1438300,689000,23
710620383,43,M,4~6천만원미만,35,24396000,965000,17
778661358,46,F,2천만원미만,36,2474000,1541000,40
789483333,41,M,2~4천만원미만,32,5214000,1258000,23
809855808,51,F,2천만원미만,46,5207000,1339000,20
718464258,51,F,2천만원미만,25,9512000,1007000,22
708528483,43,F,Unknown,23,3187000,1387000,33
771809733,64,F,2~4천만원미만,53,3353000,960000,18
719942883,54,M,4~6천만원미만,38,2290000,1119000,18
807226683,48,M,2~4천만원미만,43,5279000,1642000,41
717806133,40,M,4~6천만원미만,29,23603000,1382000,31
720615708,57,M,2~4천만원미만,45,2601000,1232000,32
714511758,45,M,6~8천만원미만,40,6363000,1542000,16
715050408,41,M,6~8천만원미만,36,8029000,1094000,32
721132233,42,F,2천만원미만,31,2410000,1217000,30
719211558,45,M,4~6천만원미만,36,3401000,744000,18
712069008,42,F,2천만원미만,23,2260000,1614000,33
715996983,47,M,6~8천만원미만,30,17682000,1747000,31
773466258,48,F,2~4천만원미만,42,4206000,1144000,22
798983508,43,M,6~8천만원미만,37,34516000,1575000,34
719117433,41,M,6~8천만원미만,36,23018000,1463000,24
716451183,54,F,2~4천만원미만,44,5556000,1706000,21
718621608,54,F,Unknown,44,6094000,909000,14
715085733,61,M,2~4천만원미만,52,2939000,2434000,33
788977833,61,M,6~8천만원미만,48,5362000,1876000,41
720272958,48,M,8천만원이상,36,27126000,1000000,25
708421833,45,F,2천만원미만,36,3342000,1139000,30
709173108,54,F,Unknown,40,2532000,799000,21
709879458,54,F,Unknown,46,1900000,1881000,45
715120608,44,M,4~6천만원미만,37,14546000,1273000,27
770632758,50,F,Unknown,36,2521000,1328000,33
779078733,55,M,4~6천만원미만,36,16427000,1579000,36
771742533,48,M,2~4천만원미만,36,13068000,937000,28
720250158,45,M,4~6천만원미만,33,23218000,1749000,37
716458983,60,M,2~4천만원미만,36,3281000,1424000,29
713747733,55,M,2~4천만원미만,47,3096000,2011000,41
712270158,62,F,2~4천만원미만,52,2052000,1208000,31
789562383,38,F,2천만원미만,30,1438300,1259000,24
754897008,46,M,2~4천만원미만,39,9432000,1319000,26
819700533,50,M,8천만원이상,45,14938000,949000,27
712890408,45,M,4~6천만원미만,36,2221000,1338000,30
720248208,47,M,4~6천만원미만,37,5731000,1554000,26
779749908,48,M,4~6천만원미만,33,34516000,1350000,32
717401883,35,M,4~6천만원미만,22,6985000,1694000,44
721509558,51,M,8천만원이상,42,24221000,1678000,40
710572458,36,F,Unknown,24,15439000,2069000,43
714576183,47,M,6~8천만원미만,36,21637000,1222000,23
721425558,52,M,8천만원이상,37,14543000,1536000,37
711109908,43,F,2천만원미만,36,9684000,1400000,31
715203108,63,M,2~4천만원미만,36,5007000,1050000,28
710027508,61,M,4~6천만원미만,54,1616000,1389000,33
787464408,53,M,4~6천만원미만,40,19116000,1184000,29
783542133,53,F,2천만원미만,47,2759000,2093000,42
708330858,57,M,8천만원이상,38,8249000,678000,11
714426783,38,F,Unknown,31,14041000,1467000,29
712701333,53,M,4~6천만원미만,43,5264000,1219000,27
709494483,63,F,2천만원미만,54,2420000,1730000,36
773373108,49,F,2천만원미만,43,2826000,1025000,28
715812258,45,M,6~8천만원미만,34,12518000,1165000,33
778286433,67,M,2~4천만원미만,56,5876000,2133000,55
789270033,48,M,6~8천만원미만,37,34516000,1122000,13
711569433,51,F,2천만원미만,38,9648000,1083000,22
720214833,52,M,6~8천만원미만,40,34516000,1234000,23
709346133,55,F,Unknown,35,3025000,1277000,23
788194458,34,M,4~6천만원미만,26,3265000,1843000,35
720779733,56,M,8천만원이상,36,6041000,1747000,49
717424458,44,F,2천만원미만,36,2293000,1166000,22
708820308,47,M,6~8천만원미만,36,13399000,1326000,31
710558058,46,F,2천만원미만,38,4317000,1619000,36
770590758,43,F,2~4천만원미만,29,3378000,1285000,16
718490658,50,F,2천만원미만,36,5012000,1142000,28
711985833,38,F,2천만원미만,30,2569000,1190000,46
708967608,53,F,2천만원미만,45,3471000,1052000,24
718505958,43,M,8천만원이상,31,34516000,1628000,38
715024233,53,M,8천만원이상,36,3312000,1740000,32
779249583,56,F,2천만원미만,38,2578000,1378000,29
709278258,54,M,2~4천만원미만,44,2902000,996000,26
778928283,57,F,2천만원미만,39,2742000,1389000,32
712299858,62,M,2천만원미만,53,2077000,1365000,38
799224108,46,F,2천만원미만,40,6265000,1715000,43
809976033,49,M,4~6천만원미만,44,7819000,1582000,25
716203308,52,M,6~8천만원미만,42,2731000,1220000,22
714871683,58,M,2~4천만원미만,36,1438300,715000,13
716139933,54,M,6~8천만원미만,36,16286000,2552000,49
716984658,49,M,8천만원이상,39,34516000,1106000,31
713086008,58,F,2천만원미만,47,2609000,1731000,34
713773458,52,M,4~6천만원미만,45,7567000,1435000,32
719242533,41,M,4~6천만원미만,33,22770000,1882000,38
772712658,62,F,2천만원미만,50,3791000,2058000,34
788868858,54,M,2천만원미만,39,2702000,1658000,32
811898133,40,F,2천만원미만,35,2555000,1334000,32
788808633,43,M,6~8천만원미만,26,2355000,1441000,29
779804208,53,F,2~4천만원미만,42,5332000,1371000,39
781391058,55,M,2~4천만원미만,49,1443000,1991000,38
790134408,46,M,4~6천만원미만,39,10741000,1278000,22
788853258,41,M,4~6천만원미만,25,7984000,1734000,39
711857733,49,M,4~6천만원미만,32,18584000,1330000,34
822969858,61,F,Unknown,56,5585000,1787000,31
719554758,46,M,6~8천만원미만,38,34516000,1672000,32
711643458,50,F,2천만원미만,43,1438300,1439000,41
788830683,40,M,6~8천만원미만,24,2478000,1558000,31
807030858,51,M,8천만원이상,46,34516000,1795000,47
793059108,50,F,2~4천만원미만,44,2339000,893000,22
716568708,47,F,2천만원미만,36,2726000,1099000,27
828281733,43,M,8천만원이상,39,14881000,1408000,23
717229158,36,F,2~4천만원미만,36,1628000,1893000,15
715915458,47,F,2천만원미만,34,3156000,1151000,31
819129858,46,F,2천만원미만,41,4745000,1519000,31
713441958,46,M,8천만원이상,36,19727000,1245000,25
719091333,52,M,4~6천만원미만,36,22720000,1102000,27
708666258,43,M,2~4천만원미만,36,8129000,1402000,33
714914583,40,F,2천만원미만,27,3751000,1060000,30
714363858,54,F,2천만원미만,36,1594000,1459000,35
721347408,55,F,2천만원미만,43,2569000,1456000,39
809608533,49,F,Unknown,44,18206000,1439000,48
772047183,45,M,2~4천만원미만,34,3104000,1353000,24
714217908,49,M,2~4천만원미만,41,2406000,1173000,32
714819183,63,M,6~8천만원미만,36,24571000,1746000,28
716455683,40,F,2천만원미만,36,15534000,1279000,28
710865633,41,F,2천만원미만,33,12301000,1307000,29
752952108,37,M,6~8천만원미만,26,2846000,1473000,37
712595433,58,M,8천만원이상,49,9788000,1805000,37
714982383,55,M,4~6천만원미만,36,7231000,1421000,23
813814008,53,F,2천만원미만,48,2324000,1272000,37
794545983,57,M,6~8천만원미만,40,12208000,1409000,34
708288108,43,M,6~8천만원미만,30,5639000,647000,15
715585158,58,M,4~6천만원미만,46,10021000,1275000,25
810449883,64,M,2천만원미만,56,2215000,1270000,27
789863208,54,F,2천만원미만,44,2027000,1702000,37
715022133,53,M,4~6천만원미만,47,6363000,1256000,26
712506708,39,F,2천만원미만,25,3920000,3178000,53
715699983,56,M,4~6천만원미만,36,9226000,1626000,29
818942433,54,F,2천만원미만,49,9376000,1562000,33
712459233,59,F,2~4천만원미만,46,1944000,1960000,57
716545383,42,M,2~4천만원미만,36,9599000,1154000,38
721144383,42,M,4~6천만원미만,28,28202000,1629000,38
821837958,43,M,6~8천만원미만,39,24850000,1226000,25
804359133,55,M,8천만원이상,49,3805000,1743000,27
713308683,52,M,6~8천만원미만,37,2733000,1139000,39
788780958,46,M,2~4천만원미만,27,12781000,1073000,21
717354558,57,M,8천만원이상,40,3106000,683000,17
798473808,48,M,6~8천만원미만,42,7477000,1159000,32
712372158,45,M,8천만원이상,33,34516000,1859000,47
715192308,48,M,8천만원이상,36,29963000,1205000,28
708813033,47,M,2~4천만원미만,36,6509000,1409000,37
714639783,42,M,4~6천만원미만,34,13450000,1000000,18
709311633,41,M,4~6천만원미만,36,27000000,1209000,39
709470858,51,M,8천만원이상,31,34516000,1366000,25
717292758,55,F,2천만원미만,47,6347000,1161000,44
779241783,67,M,2~4천만원미만,49,3106000,1512000,38
715205358,39,M,4~6천만원미만,31,2536000,1750000,35
778871508,54,M,4~6천만원미만,35,13048000,1170000,24
779462433,55,F,2천만원미만,37,2453000,2218000,50
710147958,47,M,2~4천만원미만,36,16138000,1198000,33
709864833,49,M,4~6천만원미만,38,8077000,1329000,26
778868958,42,F,2천만원미만,23,1929000,857000,36
717276708,57,M,6~8천만원미만,36,3127000,1470000,30
710004933,44,M,4~6천만원미만,36,8645000,1435000,25
753606108,56,M,4~6천만원미만,49,1438300,1093000,22
710940183,49,F,2천만원미만,38,2185000,715000,20
718927533,45,M,6~8천만원미만,32,24487000,1512000,42
719337408,63,M,4~6천만원미만,36,2567000,2399000,43
772308408,44,M,6~8천만원미만,33,4131000,906000,22
712981383,44,F,2천만원미만,37,10790000,1052000,16
790099758,40,M,2~4천만원미만,33,6884000,975000,11
709547658,39,M,4~6천만원미만,36,13961000,783000,20
778770783,42,M,6~8천만원미만,30,29801000,990000,21
713134458,54,M,8천만원이상,43,13219000,1097000,24
712159083,58,F,2천만원미만,46,2536000,901000,35
713639958,46,F,2천만원미만,36,9478000,1327000,41
771180033,47,F,2~4천만원미만,34,3502000,1814000,31
717916758,67,F,Unknown,56,10509000,1365000,34
711089733,50,F,2천만원미만,36,1491000,1058000,34
716988633,55,M,4~6천만원미만,46,9734000,1476000,38
779031033,46,F,2~4천만원미만,22,2305000,1230000,36
716302383,47,F,2~4천만원미만,36,14241000,1581000,44
718281408,36,F,2~4천만원미만,25,4789000,1534000,29
721333233,40,M,4~6천만원미만,34,23138000,1612000,39
794496033,57,M,6~8천만원미만,38,23008000,1302000,36
710519433,48,M,6~8천만원미만,36,3131000,1439000,40
814995933,58,F,2천만원미만,53,5798000,1724000,45
721469433,48,M,2~4천만원미만,36,6880000,1784000,35
788386908,48,M,6~8천만원미만,41,34516000,1156000,29
717198633,53,F,2~4천만원미만,34,2075000,2556000,49
767695083,50,M,6~8천만원미만,44,4589000,1590000,37
711791583,52,F,2천만원미만,40,2317000,884000,19
712315683,53,F,2천만원미만,45,1981000,973000,25
710038008,56,F,2~4천만원미만,47,6038000,1447000,30
789129033,44,M,6~8천만원미만,32,14910000,1150000,26
718349058,49,M,6~8천만원미만,39,29659000,1193000,21
789842283,54,M,4~6천만원미만,42,4320000,706000,21
714513033,39,F,2~4천만원미만,36,11213000,1257000,23
714717483,39,F,Unknown,29,26181000,1303000,35
714900408,41,F,2천만원미만,31,5773000,1306000,39
719418933,53,M,6~8천만원미만,36,4503000,748000,20
720115683,47,M,6~8천만원미만,36,29770000,1774000,42
779504058,46,F,2천만원미만,28,5014000,1209000,25
795979833,53,F,2천만원미만,47,3445000,1074000,31
717392358,60,M,6~8천만원미만,50,23412000,1786000,50
718640508,59,F,2천만원미만,46,3044000,1456000,36
803366358,38,M,4~6천만원미만,29,14596000,1300000,25
709230708,56,M,2천만원미만,36,3864000,1470000,42
781794708,35,M,6~8천만원미만,29,17030000,715000,25
801383808,50,M,4~6천만원미만,44,23090000,1198000,24
710677608,53,M,6~8천만원미만,36,29205000,1556000,43
708217758,63,M,4~6천만원미만,49,14035000,1606000,30
714272658,43,F,2천만원미만,24,2962000,929000,31
717469158,46,M,6~8천만원미만,30,18578000,1606000,54
711864783,61,M,4~6천만원미만,46,2201000,1199000,32
719407983,37,F,2천만원미만,25,2061000,2400000,60
710665533,42,F,Unknown,23,24602000,1337000,44
716804283,41,M,8천만원이상,29,15911000,1270000,33
767294658,56,M,8천만원이상,50,16867000,654000,14
709122483,56,M,4~6천만원미만,37,2783000,1909000,54
708241233,52,F,2천만원미만,47,2972000,922000,25
717860358,40,F,2~4천만원미만,36,5124000,1158000,42
789337233,63,M,2~4천만원미만,53,2880000,1323000,26
720902133,58,M,2~4천만원미만,46,5579000,1025000,35
721043058,58,M,4~6천만원미만,44,12010000,1700000,35
711870333,46,M,6~8천만원미만,36,34516000,1628000,51
708398283,37,F,2~4천만원미만,29,4394000,1377000,32
715878183,46,M,6~8천만원미만,35,18325000,1517000,33
719451483,46,F,2천만원미만,37,3773000,1528000,25
709110633,41,M,6~8천만원미만,29,21684000,1329000,24
721059033,48,F,2~4천만원미만,40,1919000,1505000,33
779912283,49,F,2~4천만원미만,33,9995000,1172000,38
717701733,44,M,6~8천만원미만,35,11910000,1646000,39
709913733,39,F,2천만원미만,36,2279000,1693000,32
718768158,57,M,2~4천만원미만,48,3539000,1336000,23
721375308,48,M,6~8천만원미만,36,30579000,1289000,19
711374283,47,M,6~8천만원미만,42,24480000,1416000,32
822893133,56,F,Unknown,52,17561000,1608000,33
778465533,54,F,2천만원미만,40,1638000,1885000,51
712138983,54,M,4~6천만원미만,36,2947000,1744000,53
716920908,52,M,6~8천만원미만,42,5738000,1922000,48
708095133,43,M,8천만원이상,34,33304000,1448000,29
